Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
Cleveland-Hopkins Intl,Cleveland,OH,USA,Kansas City International,Kansas City,MO,USA,Continental Air Lines Inc.,58
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Albuquerque International,Albuquerque,NM,USA,American Eagle Airlines Inc.,58
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Nashville International,Nashville,TN,USA,Delta Air Lines Inc.,58
Denver Intl,Denver,CO,USA,Kahului,Kahului,HI,USA,United Air Lines Inc.,58
Eppley Airfield,Omaha,NE,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,58
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Skywest Airlines Inc.,58
Gallatin,Bozeman,MT,USA,Denver Intl,Denver,CO,USA,United Air Lines Inc.,58
Idaho Falls Regional,Idaho Falls,ID,USA,Salt Lake City Intl,Salt Lake City,UT,USA,Delta Air Lines Inc.,58
McGhee-Tyson,Knoxville,TN,USA,Orlando International,Orlando,FL,USA,Independence Air,58
Memphis International,Memphis,TN,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Northwest Airlines Inc.,58
Memphis International,Memphis,TN,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Comair Inc.,58
Minneapolis-St Paul Intl,Minneapolis,MN,USA,Luis Munoz Marin International,San Juan,PR,USA,Northwest Airlines Inc.,58
New Orleans International,New Orleans,LA,USA,Birmingham International,Birmingham,AL,USA,Expressjet Airlines Inc.,58
Newark Intl,Newark,NJ,USA,Columbia Metropolitan,Columbia,SC,USA,Continental Air Lines Inc.,58
Phoenix Sky Harbor International,Phoenix,AZ,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Mesa Airlines Inc.,58
Portland Intl,Portland,OR,USA,Reno/Tahoe International,Reno,NV,USA,Alaska Airlines Inc.,58
Ronald Reagan Washington National,Arlington,VA,USA,William P Hobby,Houston,TX,USA,American Airlines Inc.,58
Salt Lake City Intl,Salt Lake City,UT,USA,Denver Intl,Denver,CO,USA,Expressjet Airlines Inc.,58
Seattle-Tacoma Intl,Seattle,WA,USA,Miami International,Miami,FL,USA,American Airlines Inc.,58
Seattle-Tacoma Intl,Seattle,WA,USA,Nashville International,Nashville,TN,USA,Southwest Airlines Co.,58
Trenton-Mercer County,Trenton,NJ,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Comair Inc.,58
Baltimore-Washington International,Baltimore,MD,USA,Palm Beach International,West Palm Beach,FL,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),57
Nashville International,Nashville,TN,USA,Des Moines International,Des Moines,IA,USA,Atlantic Southeast Airlines,57
Adams,Little Rock,AR,USA,Huntsville International,Huntsville,AL,USA,Delta Air Lines Inc.,56
Bradley International,Windsor Locks,CT,USA,McCarran International,Las Vegas,NV,USA,Delta Air Lines Inc.,56
Cyril E. King,Charlotte Amalie,VI,USA,Henry E. Rohlsen,Christiansted,VI,USA,Delta Air Lines Inc.,56
Daytona Beach International,Daytona Beach,FL,USA,Baltimore-Washington International,Baltimore,MD,USA,AirTran Airways Corporation,56
Denver Intl,Denver,CO,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Skywest Airlines Inc.,56
